Person,Chapters,Subject,birth_year,death_year,birth_place,nationality,primary_field,bio_one_sentence,nobel_prize_year,nobel_prize_category
Alan W. Rempel,42,Coauthored Rev. Mod. Phys. on surface premelting,unknown,living,unknown,Academic affiliation: United States,Geophysics / Applied Mathematics,American geophysicist who applies mathematical modeling to ice mechanics and co-authored ``The physics of premelting'' in \emph{Reviews of Modern Physics}.,,
Albert Bosma,37,Confirmed flat rotation curves via HI observations | Radio observations of rotation curves | Radio astronomy of galaxy rotation,unknown,living,Netherlands,Dutch,Astrophysics / Radio Astronomy,Dutch astronomer who provided fundamental confirmation for dark matter halos by demonstrating that galactic rotation curves remain flat.,,
Albert Einstein,14|43|02|06|36,Developed general relativity and gravitational time dilation | Introduced special relativity and twin paradox | Developed general relativity | Formulated GR and static universe with cosmological constant | General Relativity / Spacetime curvature | Cosmological constant | Special Relativity,1879,1955,"Ulm, Germany",German/Swiss/American,Theoretical Physics,German-born theoretical physicist who developed the theory of relativity and derived the mass-energy equivalence formula $E = mc^2$.,1921,Physics
Albrecht Dürer,29,Wrote early treatise on geometric tilings | Periodic tilings | Investigated geometry and tiling patterns,1471,1528,"Nuremberg, Holy Roman Empire (now Germany)",German,Art (Printmaking/Painting) and Mathematics,"German Renaissance artist and theorist who integrated geometry into art in the first German mathematics text, \emph{Underweysung der Messung}.",,
Aleksandr Lyapunov,48,Lyapunov exponent | Defined Lyapunov exponents,1857,1918,"Yaroslavl, Russian Empire",Russian,Mathematics and Mechanics,Russian mathematician who established the stability theory of dynamical systems and introduced Lyapunov functions and characteristic exponents.,,
Alexander Friedmann,43|02,Found early expanding-universe solutions to Einstein equations | Found expanding-universe solutions to Einstein equations | Expanding universe solutions,1888,1925,"Saint Petersburg, Russia",Russian/Soviet,Mathematics and Cosmology,"Russian mathematician and physicist who derived the Friedmann equations from general relativity, predicting the expansion of the universe.",,
Alexander Vilenkin,34,Measure problem | Pioneer of eternal inflation and quantum cosmology,1949,living,"Kharkiv, Ukraine",American,Theoretical Physics / Cosmology,Soviet-born American cosmologist who introduced the theory of eternal inflation and the quantum creation of the universe from ``nothing.'',,
Alexandre Dumas,44,Romanticized the Man in the Iron Mask in fiction | Iron Mask fiction | Novelist (Man in the Iron Mask),1802,1870,"Villers-Cotterêts, France",French,Literature (Novelist and Playwright),French author who wrote major historical romances including \emph{The Three Musketeers} and \emph{The Count of Monte Cristo}.,,
Alexandru Scorpan,24,Book on 4-Manifolds | Expository work on 4-manifolds,unknown,living,Romania,Romanian-American,Mathematics (Geometric Topology),Mathematician specializing in geometric topology who authored \emph{The Wild World of 4-Manifolds} and oversees production at Mathematical Sciences Publishers.,,
Alexei Starobinsky,,Superradiance | Work on superradiance and inflation,1948,2023,"Moscow, Russia (then USSR)",Russian,Theoretical Physics / Cosmology,"Russian theoretical physicist who formulated one of the earliest models of cosmic inflation, known as Starobinsky inflation.",,
Alfred Tarski,03,Banach–Tarski paradox | logic and set theory | Formulated the Banach-Tarski paradox,1901,1983,"Warsaw, Poland",Polish-American,Mathematical Logic and Mathematics,Polish-American logician and mathematician who formalized the semantic conception of truth and co-discovered the Banach-Tarski paradox with Stefan Banach.,,
Alice,49,Muse for Red Queen metaphor in evolutionary biology,1852,1934,"Westminster, London, United Kingdom",British,Literary Muse / Historical Figure,"Alice Liddell, daughter of Oxford dean Henry Liddell, who inspired Lewis Carroll's \emph{Alice's Adventures in Wonderland} through their friendship and storytelling sessions.",,
Allan Gibbard,09,Proved Gibbard’s theorem on strategy-proofness | Voting manipulation theorems,1942,living,"Providence, Rhode Island, USA",American,Philosophy and Social Choice Theory,"American philosopher and mathematician who proved Gibbard's theorem regarding voting manipulation and formulated norm-expressivism in \emph{Wise Choices, Apt Feelings}.",,
Allan Maxam,40,Coinvented chemical DNA sequencing method | Chemical sequencing | Co-invented chemical sequencing method | Sequencing method co-creator,1942,living,"Empire, Oregon, USA",American,Molecular Biology,"American molecular biologist who co-invented the Maxam-Gilbert DNA sequencing method, the first widely adopted technique for reading genetic code.",,
Allison Wu,03,Authored undergraduate paper on the Banach–Tarski paradox,unknown,unknown,unknown,American,Mathematics (Undergraduate Research),Undergraduate researcher who authored an expository paper on the Banach-Tarski Paradox as part of the 2008 University of Chicago VIGRE REU program.,,
Amos Nevo,07,Personal anecdote (Professor),unknown,living,unknown,Israeli,Mathematics (Ergodic Theory),"Israeli mathematician who researches ergodic theory, Lie groups, and the structure of lattice subgroups at the Technion.",,
Anaxagoras,10,Quote on the Sun,c. 500 BC,c. 428 BC,"Clazomenae, Ionia (modern Urla, Turkey)",Greek,Pre-Socratic Philosophy,Pre-Socratic Greek philosopher who brought Ionian traditions to Athens and postulated \emph{Nous} as the ordering force of the cosmos.,,
Anders Celsius,28,Introduced Celsius temperature scale | Temperature scale | Created centigrade temperature scale,1701,1744,"Uppsala, Sweden",Swedish,Astronomy,"Swedish astronomer and mathematician who proposed the centigrade temperature scale in 1742, now known as the Celsius scale.",,
Andreas Albrecht,34,"Coined and developed Boltzmann Brain concept | Coined ""Boltzmann Brain"" | Cosmologist working on the arrow of time",unknown,living,"Ithaca, New York, United States",American,Theoretical Physics and Cosmology,"American theoretical physicist who co-established the ``new inflation'' model in 1982, resolving critical stability issues in cosmology.",,
Andrei Linde,34,Eternal inflation measure | Pioneer of eternal inflation,1948,living,"Moscow, Russia (USSR)",Russian-American,Theoretical Physics / Cosmology,Russian-American theoretical physicist who proposed chaotic inflation and formulated the theory of eternal inflation implying a multiverse.,,
Andrew D. Ludlow,32,Developed state-of-the-art optical lattice clocks | Optical atomic clocks | Reviewer of optical atomic clock progress,unknown,living,unknown,American,"Atomic, Molecular, and Optical Physics (Metrology)",American physicist at NIST who advances precision metrology by developing neutral ytterbium optical lattice clocks with record-setting stability.,,
Andrew Lenard,24,Co-proved stability of matter with Dyson | Stability of matter | Proved stability of matter with Dyson,1927,2020,"Balmazújváros, Hungary",American,Mathematical Physics,Hungarian-born American mathematical physicist who co-authored the 1967 proof of the stability of matter with Freeman Dyson.,,
Andrew Wiles,08,Fermat's Last Theorem,1953,living,"Cambridge, United Kingdom",British,Mathematics,British mathematician who proved Fermat's Last Theorem in 1995 by establishing the modularity theorem for semistable elliptic curves.,,
Andrey Kolmogorov,48,KAM theorem | KAM theorem founder,1903,1987,"Tambov, Russia",Soviet/Russian,Mathematics,Russian mathematician who established the axiomatic foundations of probability theory in his 1933 monograph and formulated the KAM theorem.,,
André-Marie Ampère,04,Quantified forces between current-carrying wires | Quantified current-magnetic interactions,1775,1836,"Lyon, France",French,Physics and Mathematics,French physicist who founded classical electromagnetism and formulated the mathematical theory describing the interaction of electric currents.,,
Andy Dwyer,42,Quote (Fictional character from Parks and Rec),Fictional,Fictional,"Pawnee, Indiana (Fictional Setting)",American (Fictional),FICTIONAL CHARACTER (Fictional Character),"Lovable but dim-witted shoe-shiner from \emph{Parks and Recreation} who leads the band Mouse Rat and stars as ``Johnny Karate'', portrayed by Chris Pratt.",,
Angelo Secchi,27,Organized stellar spectra into early classes | Stellar spectral classification | Classified stars by spectra,1818,1878,"Reggio Emilia, Italy",Italian,Astronomy / Astrophysics,Italian Jesuit astronomer who pioneered astronomical spectroscopy by creating the first comprehensive spectral classification system for stars.,,
Angelos Michaelides,42,Coauthored reviews on water and ice interfaces,unknown,living,unknown,British,Theoretical Chemistry / Computational Physics,British theoretical chemist who investigates the molecular mechanics of water and ice nucleation using computer simulations.,,
Annie Jump Cannon,27,Stellar classification | Created Harvard stellar classification scheme,1863,1941,"Dover, Delaware, USA",American,Astronomy,"American astronomer who developed the Harvard Classification Scheme and classified approximately 350,000 stars for the \emph{Henry Draper Catalogue}.",,
Anthony Gonzalez,37,Coauthored Bullet Cluster study,unknown,living,unknown,American,Astrophysics,American astronomer who co-authored the 2006 Bullet Cluster observation providing direct evidence for the existence of dark matter.,,
Anthony Lasenby,02,Coauthor of GR textbook for physicists,1954,living,unknown,British,Astrophysics and Cosmology,British astrophysicist at the University of Cambridge who researches the Cosmic Microwave Background and applies Geometric Algebra.,,
Antigonus of Socho,26,Sage in chain of tradition after Shimon the Righteous | Tradition chain,unknown,unknown,"Socho, Judea",Judean,Jewish Law and Philosophy,Jewish sage of the Second Temple period who urged service to God out of love rather than reward.,,
Archduke Franz Ferdinand,38,His assassination triggered WWI escalation,1863,1914,"Graz, Austrian Empire",Austro-Hungarian,Royalty / Politics,"Austro-Hungarian heir presumptive who was assassinated in Sarajevo in 1914, triggering the outbreak of World War I.",,
Archimedes,17,The Sand Reckoner / Large numbers,c. 287 BC,c. 212 BC,"Syracuse, Sicily",Greek,Mathematics / Physics,Ancient Greek mathematician and physicist who calculated a rigorous approximation of pi and established the principle of the lever.,,
Aristarchus,17,Heliocentric model size,c. 310 BC,c. 230 BC,"Samos, Greece",Ancient Greek,Astronomy and Mathematics,Ancient Greek astronomer and mathematician who was the first to propose a heliocentric model of the universe.,,
Aristotle,43,Advocated eternal cosmos in ancient philosophy | Eternal universe view,384 BC,322 BC,"Stagira, Chalcidice",Ancient Greek,Philosophy and Science,Greek philosopher who developed the first formalized system of logic and created the structural vocabulary for Western philosophy.,,
Armand Hippolyte Louis Fizeau,13,Optics experimentalist (implicitly in context of wave optics),1819,1896,"Paris, France",French,Physics,French physicist who conducted the first terrestrial measurement of the speed of light using a rotating toothed wheel apparatus.,,
Arno Penzias,43,Codiscovered cosmic microwave background | CMB discovery | Discovered CMB,1933,2024,"Munich, Germany",American,Astrophysics / Radio Astronomy,"German-born American physicist who co-discovered the cosmic microwave background radiation, providing crucial evidence for the Big Bang theory.",1978,Physics
Arnold Sommerfeld,01|04,Introduced relativistic corrections to Bohr model | Relativistic extensions to Bohr model | Quantum electron gas model,1868,1951,"Königsberg, Prussia (now Kaliningrad, Russia)",German,Theoretical Physics,German theoretical physicist who developed the Bohr-Sommerfeld model and introduced the fine-structure constant to explain spectral lines.,,
Arthur Cayley,07,Linked conics and algebraic geometry | worked on porisms | Algebraic properties of conics,1821,1895,"Richmond, Surrey, England",British,Mathematics,British mathematician who founded the theory of matrices and was the first to define the concept of a group.,,
Arthur Eddington,06 | 10 | 34,Led 1919 eclipse expedition confirming light bending | Critiqued Boltzmann’s fluctuation explanation | 1919 Eclipse expedition | Nuclear processes in stars,1882,1944,"Kendal, England",British,Astrophysics,British astronomer who provided the first observational confirmation of General Relativity during the 1919 expedition to Pr\'incipe.,,
Atle Selberg,08,Advanced sieve methods | Selberg sieve | Sieve theory,1917,2007,"Langesund, Norway",Norwegian,Mathematics,"Norwegian mathematician who developed the Selberg sieve, trace formula, and an elementary proof of the Prime Number Theorem.",,
August Möbius,14,Introduced Möbius strip and non-orientable surfaces | Möbius strip,1790,1868,"Schulpforta, Electorate of Saxony (modern Germany)",German,Mathematics and Astronomy,"German mathematician and astronomer who described the M\""obius strip, a non-orientable surface with only one side and one boundary.",,
August Schleicher,05,Introduced genealogical tree model for language families | Introduced genealogical tree model for languages,1821,1868,"Meiningen, Germany",German,Linguistics / Philology,German linguist who formulated the \emph{Stammbaumtheorie} model of language evolution and pioneered the reconstruction of Proto-Indo-European.,,
Augustin-Jean Fresnel,13,Developed wave theory of diffraction and interference | Wave theory formulation / Diffraction prize,1788,1827,"Broglie, France",French,Physics (Optics) and Civil Engineering,French physicist and engineer who established the wave theory of light and invented the Fresnel lens for lighthouses.,,
Augustine of Hippo,43,Integrated creation ex nihilo into Christian theology | Discussed time and creation | Creation ex nihilo,354,430,"Thagaste, Numidia (modern Souk Ahras, Algeria)",Roman (North African),Theology and Philosophy,North African theologian who profoundly influenced Western Christian thought through his major works \emph{Confessions} and \emph{The City of God}.,,
Augusto Sagnotti,36,Coauthored work on UV behavior of Einstein gravity,1957,living,"Rome, Italy",Italian,Theoretical Physics,Italian theoretical physicist who demonstrated the non-renormalizability of pure Einstein gravity and developed the ``orientifold'' construction.,,
Avrohom Yeshaya Karelitz (Chazon Ish),26,Halakhic date line | Ruled on international dateline in Jewish law,1878,1953,"Kosova, Russian Empire (now Belarus)",Russian / Israeli (Mandatory Palestine),Rabbinics and Halakha (Jewish Law),Haredi religious leader known as \emph{Chazon Ish} who codified agricultural laws in Israel and defined the halakhic international dateline.,,
Avtalyon,26,One of the Zugot | teacher of Hillel,unknown,unknown,unknown,Judean,Rabbinic Law / Theology,Jewish sage and \emph{Av Beit Din} of the Sanhedrin who taught Hillel and Shammai as part of the fourth \emph{Zugot}.,,
B. Andrei Bernevig,11,Theory of quantum spin Hall effect in HgTe quantum wells,1975,living,Romania,Romanian-American,Theoretical Condensed Matter Physics,"Romanian-American theoretical physicist who predicted the quantum spin Hall effect, enabling the experimental discovery of topological insulators.",,
Barry Nalebuff,15,Provided modern Bayesian resolution of envelope paradox,1958,living,"Massachusetts, USA",American,Economics and Game Theory,American economist and Yale professor who co-founded Honest Tea and co-authored \emph{Co-opetition} to demonstrate strategic business frameworks.,,
Ben Green,08,Primes in arithmetic progressions,1977,living,"Bristol, England",British,Mathematics (Number Theory and Combinatorics),"British mathematician who proved the Green-Tao theorem in 2004, showing that primes contain arbitrarily long arithmetic progressions.",,
Ben Slater,42,Studied ice surface chemistry and friction,unknown,living,unknown,British,Theoretical Chemistry / Materials Science,British computational chemist who utilizes atomistic simulations to analyze defects in crystalline solids and the surface chemistry of ice.,,
Benjamin Fortson,05,Modern authority on Indo-European language and culture,unknown,living,unknown,American,Indo-European Linguistics and Classical Philology,"American linguist and classicist who authored \emph{Indo-European Language and Culture: An Introduction}, a standard reference in the field.",,
Benjamin Libet,50,Readiness potential experiments | Experiments on timing of volition,1916,2007,"Chicago, Illinois, USA",American,Neurophysiology,"American neurophysiologist who demonstrated that the brain's readiness potential precedes conscious intention, challenging traditional views of free will.",,
Bernard Baars,,Developed Global Workspace Theory of consciousness,1946,living,"Amsterdam, Netherlands",Dutch-American,Cognitive Neuroscience / Psychology,"American neurobiologist and cognitive psychologist who originated Global Workspace Theory, describing consciousness as a spotlight for unconscious cognitive processes.",,
Bernhard Riemann,08,Introduced zeta function and hypothesis on its zeros | Zeta function / Riemann Hypothesis,1826,1866,"Breselenz, Kingdom of Hanover (now Germany)",German,Mathematics,German mathematician who formulated Riemannian geometry and the Riemann Hypothesis regarding the distribution of prime numbers.,,
Brian Schmidt,02,Co-led supernova team establishing cosmic acceleration | Discovery of cosmic acceleration,1967,living,"Missoula, Montana, USA",American/Australian,Astrophysics,American-Australian astrophysicist who shared the 2011 Nobel Prize in Physics for discovering the accelerating expansion of the universe.,2011,Physics
Brian Weber,42,Led ice tribology experiments,unknown,living,unknown,American (based on academic affiliation),Computational Physics / Condensed Matter Physics,"American condensed matter physicist who used molecular dynamics to show ice friction is mediated by a mobile, disordered layer.",,
Bruno Rossi,19,Used atmospheric muons to confirm relativistic time dilation | Time dilation of atmospheric muons,1905,1993,"Venice, Italy",Italian-American,"Experimental Physics (Cosmic Rays, X-ray Astronomy)",Italian-American experimental physicist who invented the electronic coincidence circuit and initiated the field of extra-solar X-ray astronomy.,,
Bryce DeWitt,14,Worked on quantum gravity and global GR structures | Exotic topologies,1923,2004,"Dinuba, California, USA",American,Theoretical Physics (Quantum Gravity),American theoretical physicist who pioneered quantum gravity by formulating the Wheeler-DeWitt equation and quantizing fields in curved spacetime.,,
Bénigne Dauvergne de Saint-Mars,44,Prison governor overseeing masked prisoner | Jailer of the Man in the Iron Mask,c. 1626,1708,"Les Mésnuls, France",French,Prison Administration / Military Officer,French prison governor who served as the lifelong custodian of the unidentified captive known as the ``Man in the Iron Mask.'',,
Carl D. Anderson,19,Discovered the muon in cosmic rays | Discovery of positron and muon,1905,1991,"New York City, USA",American,Experimental Physics,"American physicist who discovered the positron in 1932 using a cloud chamber, confirming the existence of antimatter.",1936,Physics
Carl Gustav Jacob Jacobi,07,Extended Poncelet’s work to algebraic properties of conics | Elliptic functions and conics,1804,1851,"Potsdam, Prussia (now Germany)",German (Prussian),Mathematics,German mathematician who established the standard theory of elliptic functions in his treatise \emph{Fundamenta nova theoriae functionum ellipticarum}.,,
Cecil Powell,19,Co-discovered pion and clarified muon–pion relationship | Discovery of pion,1903,1969,"Tonbridge, Kent, United Kingdom",British,Experimental Physics,British physicist who developed the photographic emulsion method and discovered the pion in cosmic rays in 1947.,1950,Physics
Cem Yıldırım,08,Co-developed GPY method for small prime gaps | GPY Sieve method,1961,living,Turkey,Turkish,Mathematics (Analytic Number Theory),Turkish mathematician who co-developed the GPY sieve method proving that small gaps between prime numbers occur infinitely often.,,
Chaim Goodman-Strauss,29,Coauthored proof of aperiodic monotile | Hat monotile proof | Co-proved aperiodicity of hat tile,1967,living,United States,American,Mathematics (Geometry and Topology),"American mathematician who co-discovered the first aperiodic monotile in 2023, resolving a major open problem in tiling theory.",,
Charles H. Bennett,45,Resolved demon paradox via reversible computation | Reversible computing / Demon resolution | Applied reversible computing to demon paradox,1943,living,"New York City, USA",American,Theoretical Physics / Quantum Information Science,American physicist who established the foundations of quantum information theory and introduced the field of quantum cryptography.,,
Charles H. Townes,,Masers and lasers enabling precise frequency standards,1915,2015,"Greenville, South Carolina, USA",American,Physics,American physicist whose work in quantum electronics led to the invention of the maser and the laser.,1964,Physics
Charles L. Kane,11,Predicted quantum spin Hall effect | Z2 topological insulators | Predicted Quantum Spin Hall effect / 2D topological insulators,1963,living,"Urbana, Illinois, USA",American,Theoretical Condensed Matter Physics,American theoretical physicist who predicted the quantum spin Hall effect and pioneered the theory of topological insulators.,,
Charlie Kelly,27,Quote (Fictional character from It's Always Sunny),c. 1976 (Fictional),Living (Fictional),"Philadelphia, Pennsylvania (Fictional)",American (Fictional),FICTIONAL CHARACTER (Fictional Character),"Illiterate janitor and wildcard from \emph{It's Always Sunny in Philadelphia} who lives in squalor, huffs paint, and writes bizarre musicals while hopelessly pining for the Waitress.",,
Christiaan Huygens,13,Originator of wave theory and Huygens’ principle | Wave theory of light,1629,1695,"The Hague, Dutch Republic",Dutch,"Mathematics, Physics, and Astronomy",Dutch physicist who formulated the wave theory of light in \emph{Trait\'e de la Lumi\`ere} and invented the pendulum clock.,,
Christine Jones,37,Coauthored Bullet Cluster paper,1949,living,"Minneapolis, Minnesota, USA",American,Astrophysics,American astrophysicist who co-authored the 2006 Bullet Cluster study providing empirical evidence for the existence of dark matter.,,
Claus Kiefer,36,Authored modern text on quantum gravity,1958,living,"Bevern, Germany",German,Theoretical Physics,"German theoretical physicist who investigates quantum gravity and black hole thermodynamics, and authored the textbook \emph{Quantum Gravity}.",,
Cohen the Barbarian,23,Quote (Fictional character from Discworld),Fictional,Fictional,Discworld (Fictional),Fictional,FICTIONAL CHARACTER,"Elderly barbarian hero from Terry Pratchett's \emph{Discworld} who leads the Silver Horde, refuses to retire despite being over 90, and famously attempts to return fire to the gods.",,
Colin R. Blyth,30,"Coined the term “Simpson’s paradox” | Coined ""Simpson's Paradox"" | Named Simpson's paradox",1922,2019,"Guelph, Ontario, Canada",Canadian,Statistics,Canadian statistician who formally coined the term ``Simpson's paradox'' in the paper ``On Simpson's Paradox and the Sure-Thing Principle.'',,
Comte de Lautréamont,25,Quote on math,1846,1870,"Montevideo, Uruguay",French,Literature (Poetry),"French poet who wrote \emph{Les Chants de Maldoror} under the pseudonym Comte de Lautr\'eamont, influencing the Surrealists.",,
Constantine I,26,Restricted Jewish courts’ jurisdiction,c. 272,337,"Naissus, Moesia Superior (modern Niš, Serbia)",Roman,Roman Emperor,Roman Emperor who became the first Christian ruler and founded Constantinople as the empire's new capital.,,
Craig Kaplan,29,Visualized and validated hat monotile tilings | Hat monotile proof | Co-proved aperiodicity of hat tile,unknown,living,unknown,Canadian,Computer Science / Computational Geometry,"Canadian computer scientist who co-discovered the first verified aperiodic monotiles, known as the ``hat'' and ``spectre.''",,
Craig Venter,40,Led Celera's whole-genome shotgun project; pioneered human genome sequencing,1946,living,"Salt Lake City, Utah, USA",American,Genetics and Biotechnology,American biotechnologist who pioneered whole-genome shotgun sequencing and led the private effort to sequence the human genome.,,
Cris Luengo Hendriks,41,Coauthored Radon–Hough survey,unknown,living,unknown,Dutch (implied by education) / Swedish (residence),Image Analysis / Quantitative Microscopy,Digital image analysis researcher who is a principal developer of the DIPlib and DIPimage scientific image processing libraries.,,
César Lattes,19,Co-discovered pion in emulsion experiments | Discovery of pion,1924,2005,"Curitiba, Brazil",Brazilian,Experimental Physics,Brazilian physicist who co-discovered the pion in 1947 using nuclear emulsions and detected the first artificially produced pions.,,
Dan Goldston,08,Co-developed GPY method for small prime gaps | GPY Sieve method,1954,living,"Oakland, California, USA",American,Mathematics (Analytic Number Theory),"American mathematician who, with J\'anos Pintz and Cem Y{\i}ld{\i}r{\i}m, proved that gaps between consecutive primes can be arbitrarily smaller than average.",,
Dan Kleitman,09,Lonely Runner Conjecture,1934,living,"New York City, USA",American,Mathematics (Combinatorics),"American mathematician who collaborated with Paul Erd\H{o}s, simplified the Four Color Theorem, and advised on \emph{Good Will Hunting}.",,
Dan Shechtman,29,Discovered quasicrystals with aperiodic order | Quasicrystals | Discovered quasicrystals,1941,living,"Tel Aviv, Israel",Israeli,Materials Science,Israeli materials scientist who was awarded the 2011 Nobel Prize in Chemistry for the discovery of quasicrystals.,2011,Chemistry
Daniel Bernoulli,28,Kinetic theory precursor,1700,1782,"Groningen, Dutch Republic",Swiss,Mathematics and Physics,Swiss mathematician and physicist who authored \emph{Hydrodynamica} and formulated Bernoulli's principle regarding fluid velocity and pressure.,,
Daniel Dennett,20,Developed intentional stance view of mental states | Intentional Stance,1942,2024,"Boston, Massachusetts, USA",American,Philosophy of Mind / Cognitive Science,"American philosopher and cognitive scientist who formulated the ``intentional stance'' and championed a materialist, evolutionary explanation of consciousness.",,
Daniel Gabriel Fahrenheit,28,Invented reliable mercury thermometer and scale | Temperature scale,1686,1736,"Danzig (Gdańsk), Polish-Lithuanian Commonwealth",German-Dutch,Physics and Scientific Instrumentation,German physicist and instrument maker who invented the first reliable mercury thermometer and developed the Fahrenheit temperature scale.,,
Daniel Genkin,,Worked on microarchitectural side-channel attacks,unknown,living,unknown,Israeli,Computer Security / Cryptography,Israeli computer scientist who co-discovered the Meltdown and Spectre vulnerabilities exposing design flaws in modern processors.,,
Daniel J. Bernstein,18,Demonstrated practical cache-based AES attacks | Cache timing attacks,1971,living,"East Patchogue, New York, USA",American,"Mathematics, Cryptography, Computer Science",American mathematician and cryptographer who designed Curve25519 and established code as protected speech in \emph{Bernstein v. United States}.,,
Dariusz Matlak,33,Coauthored expository work on Royen’s GCI proof | Verified Royen's proof | Clarified Royen's proof,unknown,living,unknown,Polish,Mathematics,"Polish mathematician who, alongside Rafa\l{} Lata\l{}a, verified and popularized Thomas Royen's proof of the Gaussian correlation inequality.",,
Dave Barry,04,Quote on electricity,1947,living,"Armonk, New York, USA",American,Humor / Journalism,American author and columnist who won the 1988 Pulitzer Prize for Commentary for his work at the \emph{Miami Herald}.,,
David B. Hall,19,Coauthor of Rossi–Hall muon lifetime experiments | Time dilation of atmospheric muons,unknown,unknown,unknown,American,Experimental Physics,American experimental physicist who collaborated with Bruno Rossi to provide the first direct verification of relativistic time dilation.,,
David ben Zakkai,26,Exilarch during Ben Meir dispute,unknown,c. 940,Babylonia (modern-day Iraq),Jewish (Abbasid Caliphate),Exilarch (Resh Galuta),Babylonian Jewish Exilarch who asserted authority in the calendar dispute and engaged in a power struggle with Saadia Gaon.,,
David Chalmers,50 | 20,Formulated the hard problem of consciousness | Hard problem of consciousness | Articulated hard problem of consciousness,1966,living,"Sydney, Australia",Australian,Philosophy of Mind,Australian philosopher and cognitive scientist who formulated the ``hard problem of consciousness'' in his 1996 book \emph{The Conscious Mind}.,,
David Francis Mayers,01,Showed relativistic orbital contraction in heavy atoms | Identified relativistic orbital contraction,unknown,2023,United Kingdom,British,Numerical Analysis / Atomic Physics,British mathematician and physicist who provided numerical verification of relativistic orbital contraction in heavy atoms using the EDSAC computer.,,
David Hilbert,08|17|03,Hilbert's Hotel / Quote on theology in math | Hilbert's 10th problem / Quote on Riemann Hypothesis | Quote on Cantor's paradise,1862,1943,"Königsberg, Prussia (now Kaliningrad, Russia)",German,Mathematics,German mathematician who developed Hilbert spaces and presented twenty-three unsolved problems that directed mathematical research for decades.,,
David J. Thouless,11,Topological explanation of quantum Hall plateaus | Topological nature of Quantum Hall Effect,1934,2019,"Bearsden, Scotland",British,Theoretical Condensed Matter Physics,British theoretical physicist who pioneered the application of topology to condensed matter systems and co-developed the Kosterlitz-Thouless transition.,2016,Physics
David Klenerman,,Coinvented Solexa/Illumina SBS chemistry,1959,living,"London, United Kingdom",British,Biophysical Chemistry,British biophysical chemist who co-invented the sequencing-by-synthesis technology that reduced DNA sequencing costs by a million-fold.,,
David Smith,29,Discovered the “hat” aperiodic monotile | Discovery of Hat monotile | Discovered the 'hat' aperiodic monotile,c. 1958,living,United Kingdom,British,Recreational Mathematics,"British amateur mathematician who discovered the ``hat'', the first known aperiodic monotile, resolving a major geometric tiling problem.",,
David Tabor,42,Coauthored work on friction and ice | Frictional heating of ice | Studied friction on ice,1913,2005,"London, United Kingdom",British,Physics (Tribology),"""British physicist who co-authored \emph{The Friction and Lubrication of Solids} and showed that frictional heating creates a water film on ice.""",,
